2019-20;26;TOT;NBA;C;54;39;20.3;3.2;5.6;.579;0.0;0.0;.000;3.2;5.6;.581;.579;0.7;1.2;.606;1.6;4.3;5.8;1.3;0.9;1.1;0.7;2.2;7.2
2019-20;26;GSW;NBA;C;41;37;22.9;3.5;6.3;.560;0.0;0.0;;3.5;6.3;.560;.560;0.9;1.4;.614;1.7;4.5;6.2;1.5;1.1;1.2;0.9;2.5;7.9
2019-20;26;DAL;NBA;C;13;2;12.1;2.4;3.5;.689;0.0;0.1;.000;2.4;3.4;.705;.689;0.4;0.7;.556;1.0;3.6;4.6;0.8;0.3;0.8;0.4;1.5;5.2
2016-17;19;PHO;NBA;PF;82;75;21.3;3.5;7.7;.449;0.9;2.7;.321;2.6;5.0;.520;.506;1.4;2.2;.624;1.2;3.1;4.2;0.7;0.8;0.9;1.3;3.2;9.2
2017-18;20;PHO;NBA;PF;72;49;21.2;2.8;6.6;.423;0.8;2.6;.295;2.0;4.0;.509;.482;1.3;2.2;.608;1.1;4.4;5.5;1.2;0.7;1.0;1.5;2.8;7.7
2018-19;21;TOT;NBA;PF;43;2;11.6;1.6;4.2;.372;0.4;1.7;.222;1.2;2.5;.472;.417;0.7;1.0;.711;0.9;2.4;3.3;0.5;0.4;0.3;0.8;1.9;4.2
2018-19;21;HOU;NBA;PF;16;0;6.5;0.7;2.1;.324;0.1;0.9;.067;0.6;1.2;.526;.338;0.4;0.4;.857;0.4;1.3;1.8;0.4;0.1;0.3;0.8;1.1;1.8
2018-19;21;CLE;NBA;PF;27;2;14.6;2.1;5.4;.384;0.6;2.1;.263;1.5;3.3;.461;.435;1.0;1.4;.684;1.2;3.0;4.2;0.6;0.6;0.3;0.9;2.4;5.7
2019-20;22;GSW;NBA;PF;59;21;20.3;3.6;6.5;.545;0.1;0.7;.205;3.4;5.9;.584;.556;2.0;2.6;.769;1.9;4.3;6.2;1.9;0.7;1.1;1.3;2.1;9.3
2009-10;21;GSW;NBA;PG;80;77;36.2;6.6;14.3;.462;2.1;4.8;.437;4.5;9.5;.474;.535;2.2;2.5;.885;0.6;3.9;4.5;5.9;1.9;0.2;3.0;3.2;17.5
2010-11;22;GSW;NBA;PG;74;74;33.6;6.8;14.2;.480;2.0;4.6;.442;4.8;9.6;.498;.551;2.9;3.1;.934;0.7;3.2;3.9;5.8;1.5;0.3;3.1;3.1;18.6
2011-12;23;GSW;NBA;PG;26;23;28.2;5.6;11.4;.490;2.1;4.7;.455;3.5;6.7;.514;.583;1.5;1.8;.809;0.6;2.8;3.4;5.3;1.5;0.3;2.5;2.4;14.7
